year,state,name,FiscalYear, Total Taxes , Property Tax (T01) , Tot Sales & Gr Rec Tax , Total Gen Sales Tax (T09) , Total Select Sales Tax , Alcoholic Beverage Tax (T10) , Amusement Tax (T11) , Insurance Premium Tax (T12) , Motor Fuels Tax (T13) , Parimutuels Tax (T14) , Public Utility Tax (T15) , Tobacco Tax (T16) , Other Select Sales Tax (T19) , Total License Taxes , Alcoholic Beverage Lic (T20) , Amusement License (T21) , Corporation License (T22) , Hunt and Fish License (T23) , Motor Veh & Oper Lic , Motor Vehicle License (T24) , Motor Veh Oper License (T25) , Public Utility License (T27) , Occup and Bus Lic NEC (T28) , Other License Taxes (T29) , Total Income Taxes , Individual Income Tax (T40) , Corp Net Income Tax (T41) , Total Other Taxes , Death and Gift Tax (T50) , Docum and Stock Tr Tax (T51) , Severance Tax (T53) , Taxes NEC (T99) 
2016,6,CA STATE GOVT,63016,"155,191,714","2,513,157","51,602,180","39,189,007","12,413,173","368,699",X,"2,561,932","5,000,539","14,537","714,623","840,034","2,912,809","10,275,132","57,406","16,767","75,066","104,698","4,292,249","3,996,089","296,160","674,660","5,027,281","27,005","90,655,530","80,753,345","9,902,185","145,715",330,X,"68,500","76,885"
2016,8,CO STATE GOVT,63016,"13,021,449",X,"5,122,992","2,840,173","2,282,819","43,407","116,374","277,647","667,037",620,X,"201,187","976,547","702,667","7,367",821,"19,541","79,664","540,761","504,010","36,751","14,717","39,628",168,"7,111,711","6,485,602","626,109","84,079",X,X,"84,079",0
2016,9,CT STATE GOVT,63016,"15,290,134",X,"6,148,944","3,752,793","2,396,151","56,345","305,057","208,895","467,749","6,038","298,858","350,723","702,486","455,454","9,356",230,"28,878","5,200","273,006","224,287","48,719",675,"133,427","4,682","8,322,645","7,557,153","765,492","363,091","195,157","167,132",X,802
2016,10,DE STATE GOVT,63016,"3,522,301",X,"539,193",X,"539,193","20,274",X,"96,279","125,453",69,"55,394","111,762","129,962","1,452,596","1,584",306,"1,274,897","3,030","61,025","54,287","6,738",X,"105,868","5,886","1,430,520","1,112,368","318,152","99,992","9,350","89,527",X,"1,115"
2016,12,FL STATE GOVT,63016,"37,767,500",X,"30,556,402","22,418,257","8,138,145","396,418","202,942","705,400","2,611,492","6,921","2,408,133","1,223,029","583,810","2,241,468","9,132","18,000","315,059","17,026","1,669,397","1,552,251","117,146","25,516","177,077","10,261","2,272,230",X,"2,272,230","2,697,400",140,"2,662,080","35,180",0
2016,13,GA STATE GOVT,63016,"21,454,961","961,881","8,408,456","5,480,196","2,928,260","190,536",X,"428,700","1,655,028",X,X,"219,870","434,126","663,946","3,983",X,"51,050","26,569","475,372","366,897","108,475",X,"82,123","24,849","11,420,536","10,439,534","981,002",142,0,142,X,0
2016,15,HI STATE GOVT,63016,"6,919,035",X,"4,315,902","3,206,154","1,109,748","50,590",X,"157,900","92,591",X,"152,760","124,890","531,017","263,130",X,X,"1,765",599,"187,091","186,742",349,"20,804","41,566","11,305","2,224,299","2,116,130","108,169","115,704","49,613","66,091",X,0
2016,16,ID STATE GOVT,63016,"4,209,366",X,"2,120,946","1,559,332","561,614","9,235",X,"87,727","337,335","3,666","1,876","50,574","71,201","372,883","1,662",289,"2,502","39,984","188,447","177,260","11,187","57,166","79,026","3,807","1,710,234","1,521,238","188,996","5,303",X,X,"5,303",0
2016,17,IL STATE GOVT,63016,"38,907,220","60,814","18,524,265","11,344,480","7,179,785","287,865","787,519","424,959","1,354,039","6,420","1,585,911","844,928","1,888,144","2,745,949","13,097","15,442","363,019","40,354","1,812,156","1,695,934","116,222","4,723","469,273","27,885","17,173,986","13,806,525","3,367,461","402,206","325,230","76,976",X,0
2016,18,IN STATE GOVT,63016,"17,632,420","10,699","10,662,434","7,306,331","3,356,103","48,310","578,829","235,024","845,384","1,958","214,976","443,210","988,412","704,869","12,871","5,912","9,769","19,362","531,538","294,209","237,329",X,"43,437","81,980","6,252,533","5,218,166","1,034,367","1,885",872,X,"1,013",0
